Frequency_Hz,Original_dB,Truncated_dB,Difference_dB
104.736328,2.441028,2.436733,-0.004295
105.468750,2.289459,2.260370,-0.029088
106.201172,2.121256,2.084007,-0.037249
106.933594,1.936459,1.907644,-0.028816
107.666016,1.728905,1.727057,-0.001848
108.398438,1.492297,1.464747,-0.027549
109.130859,1.229252,1.202438,-0.026815
109.863281,0.952814,0.940128,-0.012686
110.595703,0.678541,0.677818,-0.000723
111.328125,0.408661,0.409098,0.000437
112.060547,0.142099,0.140161,-0.001938
112.792969,-0.125524,-0.128776,-0.003253
113.525391,-0.397041,-0.397714,-0.000673
114.257812,-0.674004,-0.687007,-0.013003
114.990234,-0.958863,-0.978940,-0.020077
115.722656,-1.253647,-1.270874,-0.017226
116.455078,-1.558748,-1.562807,-0.004059
117.187500,-1.873661,-1.879755,-0.006094
117.919922,-2.195659,-2.202831,-0.007172
118.652344,-2.520058,-2.525907,-0.005849
119.384766,-2.846855,-2.848983,-0.002128
120.117188,-3.178352,-3.181898,-0.003546
120.849609,-3.516105,-3.518616,-0.002511
121.582031,-3.856368,-3.855335,0.001034
122.314453,-4.193270,-4.192053,0.001217
123.046875,-4.520077,-4.491921,0.028156
123.779297,-4.822248,-4.770999,0.051248
124.511719,-5.097182,-5.050077,0.047105
125.244141,-5.346841,-5.329155,0.017686
125.976562,-5.582451,-5.577118,0.005334
126.708984,-5.810592,-5.800367,0.010225
127.441406,-6.032136,-6.023616,0.008520
128.173828,-6.249643,-6.246865,0.002778
128.906250,-6.467778,-6.466790,0.000988
129.638672,-6.686999,-6.683046,0.003953
130.371094,-6.905619,-6.899303,0.006316
131.103516,-7.120140,-7.115559,0.004580
131.835938,-7.327372,-7.322387,0.004986
132.568359,-7.526838,-7.514675,0.012163
133.300781,-7.718554,-7.706963,0.011591
134.033203,-7.905686,-7.899251,0.006435
134.765625,-8.088210,-8.081859,0.006351
135.498047,-8.264982,-8.243065,0.021917
136.230469,-8.431445,-8.404271,0.027174
136.962891,-8.583811,-8.565477,0.018335
137.695312,-8.719637,-8.711497,0.008140
138.427734,-8.837790,-8.806523,0.031267
139.160156,-8.937900,-8.901549,0.036351
139.892578,-9.019028,-8.996574,0.022453
140.625000,-9.087240,-9.085436,0.001804
141.357422,-9.148145,-9.138668,0.009478
142.089844,-9.203748,-9.191899,0.011849
142.822266,-9.253550,-9.245131,0.008419
143.554688,-9.297853,-9.296955,0.000898
144.287109,-9.338405,-9.328702,0.009703
145.019531,-9.374419,-9.360450,0.013970
145.751953,-9.403571,-9.392197,0.011373
146.484375,-9.424610,-9.423945,0.000666
147.216797,-9.437348,-9.427127,0.010221
147.949219,-9.443066,-9.429832,0.013233
148.681641,-9.442833,-9.432538,0.010295
149.414062,-9.436923,-9.435243,0.001680
150.146484,-9.424835,-9.410774,0.014061
150.878906,-9.406052,-9.383339,0.022713
151.611328,-9.376689,-9.355904,0.020784
152.343750,-9.332961,-9.328469,0.004492
153.076172,-9.274497,-9.252077,0.022420
153.808594,-9.199604,-9.164910,0.034693
154.541016,-9.104783,-9.077744,0.027039
155.273438,-8.997579,-8.990577,0.007002
156.005859,-8.884566,-8.889501,-0.004935
156.738281,-8.773754,-8.783478,-0.009724
157.470703,-8.668643,-8.677455,-0.008811
158.203125,-8.568818,-8.571432,-0.002614
158.935547,-8.472300,-8.473132,-0.000831
159.667969,-8.377315,-8.378887,-0.001572
160.400391,-8.283633,-8.284642,-0.001009
161.132812,-8.190565,-8.190397,0.000167
161.865234,-8.096373,-8.092355,0.004018
162.597656,-7.999451,-7.991490,0.007961
163.330078,-7.898271,-7.890625,0.007646
164.062500,-7.793174,-7.789760,0.003413
164.794922,-7.686279,-7.688278,-0.001999
165.527344,-7.580707,-7.586158,-0.005451
166.259766,-7.478139,-7.484037,-0.005898
166.992188,-7.379751,-7.381917,-0.002166
167.724609,-7.282137,-7.276311,0.005826
168.457031,-7.180085,-7.165686,0.014399
169.189453,-7.072101,-7.055061,0.017041
169.921875,-6.956041,-6.944436,0.011606
170.654297,-6.827281,-6.820205,0.007077
171.386719,-6.687064,-6.668075,0.018989
172.119141,-6.538053,-6.515945,0.022107
172.851562,-6.377580,-6.363815,0.013764
173.583984,-6.206351,-6.207652,-0.001300
174.316406,-6.030074,-6.039114,-0.009040
175.048828,-5.855209,-5.870576,-0.015368
175.781250,-5.690042,-5.702039,-0.011996
176.513672,-5.537130,-5.539308,-0.002178
177.246094,-5.394903,-5.406205,-0.011302
177.978516,-5.260158,-5.273103,-0.012945
178.710938,-5.130338,-5.140000,-0.009662
179.443359,-5.008172,-5.009868,-0.001696
180.175781,-4.897489,-4.913034,-0.015545
180.908203,-4.797655,-4.816199,-0.018544
181.640625,-4.706247,-4.719364,-0.013117
182.373047,-4.622584,-4.622530,0.000055
183.105469,-4.546954,-4.559920,-0.012965
183.837891,-4.479720,-4.497312,-0.017592
184.570312,-4.420599,-4.434704,-0.014105
185.302734,-4.370743,-4.372096,-0.001354
186.035156,-4.329221,-4.330524,-0.001304
186.767578,-4.291376,-4.290833,0.000544
187.500000,-4.253301,-4.251141,0.002160
188.232422,-4.212362,-4.211449,0.000914
188.964844,-4.168853,-4.167742,0.001111
189.697266,-4.125579,-4.123248,0.002331
190.429688,-4.082264,-4.078753,0.003510
191.162109,-4.035734,-4.034259,0.001475
191.894531,-3.984595,-3.980552,0.004042
192.626953,-3.930727,-3.923841,0.006886
193.359375,-3.873757,-3.867130,0.006627
194.091797,-3.812694,-3.810419,0.002275
194.824219,-3.748157,-3.747741,0.000416
195.556641,-3.681413,-3.682152,-0.000739
196.289062,-3.615082,-3.616564,-0.001481
197.021484,-3.550416,-3.550975,-0.000558
197.753906,-3.486966,-3.486195,0.000771
198.486328,-3.424295,-3.421978,0.002317
