Frequency_Hz,Original_dB,Truncated_dB,Difference_dB
106.201172,4.256069,4.238452,-0.017617
106.933594,4.275626,4.233683,-0.041943
107.666016,4.273792,4.228914,-0.044878
108.398438,4.247798,4.224145,-0.023653
109.130859,4.197427,4.193103,-0.004324
109.863281,4.132572,4.127051,-0.005521
110.595703,4.064953,4.060999,-0.003953
111.328125,3.996256,3.994947,-0.001309
112.060547,3.926491,3.923822,-0.002669
112.792969,3.853910,3.845493,-0.008417
113.525391,3.776657,3.767164,-0.009494
114.257812,3.693499,3.688834,-0.004665
114.990234,3.604869,3.600798,-0.004072
115.722656,3.509487,3.498066,-0.011421
116.455078,3.406371,3.395335,-0.011036
117.187500,3.297408,3.292604,-0.004804
117.919922,3.185318,3.187307,0.001989
118.652344,3.073585,3.077865,0.004280
119.384766,2.964359,2.968423,0.004064
120.117188,2.856783,2.858981,0.002199
120.849609,2.748169,2.742848,-0.005320
121.582031,2.633087,2.615172,-0.017915
122.314453,2.504529,2.487495,-0.017034
123.046875,2.365698,2.359819,-0.005879
123.779297,2.228212,2.230760,0.002548
124.511719,2.095406,2.099151,0.003745
125.244141,1.966250,1.967542,0.001292
125.976562,1.836327,1.835933,-0.000394
126.708984,1.701994,1.697719,-0.004275
127.441406,1.562363,1.546456,-0.015907
128.173828,1.415731,1.395192,-0.020539
128.906250,1.256319,1.243929,-0.012391
129.638672,1.083478,1.082508,-0.000969
130.371094,0.897908,0.899567,0.001659
131.103516,0.710396,0.716625,0.006228
131.835938,0.527889,0.533683,0.005794
132.568359,0.353462,0.364535,0.011074
133.300781,0.194375,0.226791,0.032416
134.033203,0.052205,0.089046,0.036841
134.765625,-0.071149,-0.048698,0.022450
135.498047,-0.176336,-0.168607,0.007729
136.230469,-0.263585,-0.244795,0.018791
136.962891,-0.338794,-0.320982,0.017812
137.695312,-0.406658,-0.397170,0.009488
138.427734,-0.470630,-0.468583,0.002047
139.160156,-0.529994,-0.527365,0.002629
139.892578,-0.585818,-0.586146,-0.000328
140.625000,-0.643403,-0.644928,-0.001525
141.357422,-0.706451,-0.707296,-0.000845
142.089844,-0.775060,-0.779932,-0.004872
142.822266,-0.846938,-0.852568,-0.005631
143.554688,-0.921765,-0.925204,-0.003439
144.287109,-1.000948,-1.000328,0.000620
145.019531,-1.084250,-1.083181,0.001069
145.751953,-1.169741,-1.166035,0.003706
146.484375,-1.253608,-1.248889,0.004719
147.216797,-1.330665,-1.325620,0.005045
147.949219,-1.399696,-1.381615,0.018082
148.681641,-1.460301,-1.437610,0.022691
149.414062,-1.509243,-1.493605,0.015638
150.146484,-1.544346,-1.536897,0.007449
150.878906,-1.565194,-1.533128,0.032066
151.611328,-1.568800,-1.529359,0.039442
152.343750,-1.551692,-1.525590,0.026102
153.076172,-1.513492,-1.506872,0.006619
153.808594,-1.453335,-1.427265,0.026071
154.541016,-1.372658,-1.347657,0.025000
155.273438,-1.281935,-1.268050,0.013885
156.005859,-1.185838,-1.187181,-0.001344
