Frequency_Hz,Original_dB,Truncated_dB,Difference_dB
110.595703,1.176294,1.161071,-0.015223
111.328125,1.077186,0.979379,-0.097808
112.060547,0.865654,0.790355,-0.075300
112.792969,0.649168,0.601330,-0.047838
113.525391,0.424575,0.412306,-0.012269
114.257812,0.190203,0.169167,-0.021037
114.990234,-0.054831,-0.080990,-0.026159
115.722656,-0.309555,-0.331146,-0.021591
116.455078,-0.573396,-0.581303,-0.007907
117.187500,-0.844035,-0.849746,-0.005710
117.919922,-1.118112,-1.122668,-0.004556
118.652344,-1.391856,-1.395590,-0.003734
119.384766,-1.665017,-1.668512,-0.003495
120.117188,-1.939522,-1.950756,-0.011233
120.849609,-2.218718,-2.236602,-0.017884
121.582031,-2.506565,-2.522448,-0.015882
122.314453,-2.801624,-2.808294,-0.006669
123.046875,-3.096101,-3.081025,0.015076
123.779297,-3.376254,-3.346357,0.029897
124.511719,-3.638539,-3.611689,0.026850
125.244141,-3.884825,-3.877022,0.007804
125.976562,-4.126693,-4.135597,-0.008904
126.708984,-4.372965,-4.388806,-0.015841
127.441406,-4.625202,-4.642015,-0.016813
128.173828,-4.884834,-4.895224,-0.010390
128.906250,-5.156218,-5.163515,-0.007296
129.638672,-5.438456,-5.448450,-0.009994
130.371094,-5.729319,-5.733386,-0.004067
131.103516,-6.017717,-6.018322,-0.000605
131.835938,-6.297215,-6.291107,0.006108
132.568359,-6.567552,-6.545157,0.022395
133.300781,-6.824024,-6.799207,0.024817
134.033203,-7.067086,-7.053257,0.013829
134.765625,-7.295356,-7.290132,0.005225
135.498047,-7.509522,-7.489033,0.020489
136.230469,-7.710094,-7.687934,0.022160
136.962891,-7.899103,-7.886836,0.012267
137.695312,-8.078238,-8.077877,0.000361
138.427734,-8.251251,-8.242521,0.008729
139.160156,-8.417777,-8.407166,0.010611
139.892578,-8.576921,-8.571811,0.005110
140.625000,-8.732934,-8.736110,-0.003176
141.357422,-8.891714,-8.898411,-0.006697
142.089844,-9.054638,-9.060712,-0.006074
142.822266,-9.218786,-9.223013,-0.004227
143.554688,-9.383379,-9.385389,-0.002010
144.287109,-9.548819,-9.548836,-0.000017
145.019531,-9.714366,-9.712283,0.002083
145.751953,-9.878775,-9.875730,0.003045
146.484375,-10.038082,-10.039177,-0.001095
147.216797,-10.185387,-10.168261,0.017125
147.949219,-10.320178,-10.296771,0.023407
148.681641,-10.444002,-10.425280,0.018721
149.414062,-10.555009,-10.553790,0.001219
150.146484,-10.652027,-10.628591,0.023436
150.878906,-10.734608,-10.697529,0.037079
151.611328,-10.798736,-10.766468,0.032268
152.343750,-10.841052,-10.835406,0.005646
153.076172,-10.861466,-10.840960,0.020506
153.808594,-10.860452,-10.832565,0.027887
154.541016,-10.842453,-10.824170,0.018283
155.273438,-10.819269,-10.815775,0.003494
156.005859,-10.796120,-10.802675,-0.006555
156.738281,-10.776793,-10.787902,-0.011110
157.470703,-10.763004,-10.773130,-0.010126
158.203125,-10.754691,-10.758357,-0.003667
158.935547,-10.750092,-10.749046,0.001046
159.667969,-10.745693,-10.742602,0.003091
160.400391,-10.739466,-10.736158,0.003308
161.132812,-10.731284,-10.729714,0.001571
161.865234,-10.719857,-10.714914,0.004942
162.597656,-10.703958,-10.693907,0.010051
163.330078,-10.682642,-10.672900,0.009742
164.062500,-10.656217,-10.651893,0.004325
164.794922,-10.626267,-10.628039,-0.001772
165.527344,-10.595963,-10.601243,-0.005280
166.259766,-10.568098,-10.574447,-0.006350
166.992188,-10.544636,-10.547651,-0.003015
167.724609,-10.523658,-10.520103,0.003555
168.457031,-10.500698,-10.491472,0.009226
169.189453,-10.474362,-10.462841,0.011521
169.921875,-10.442509,-10.434210,0.008299
170.654297,-10.400419,-10.392021,0.008398
171.386719,-10.345582,-10.322032,0.023551
172.119141,-10.277738,-10.252042,0.025696
172.851562,-10.196994,-10.182052,0.014942
173.583984,-10.106788,-10.106709,0.000079
174.316406,-10.012693,-10.014942,-0.002249
175.048828,-9.918434,-9.923175,-0.004741
175.781250,-9.827606,-9.831408,-0.003803
176.513672,-9.741086,-9.739956,0.001129
177.246094,-9.656725,-9.650108,0.006616
177.978516,-9.569870,-9.560261,0.009610
178.710938,-9.477255,-9.470413,0.006842
179.443359,-9.380152,-9.379580,0.000573
180.175781,-9.281161,-9.277704,0.003457
180.908203,-9.180664,-9.175829,0.004836
181.640625,-9.077512,-9.073953,0.003559
182.373047,-8.972410,-8.972077,0.000333
183.105469,-8.865855,-8.869644,-0.003788
183.837891,-8.758684,-8.767210,-0.008526
184.570312,-8.655660,-8.664776,-0.009116
185.302734,-8.561782,-8.562343,-0.000560
186.035156,-8.478653,-8.491181,-0.012527
186.767578,-8.405026,-8.422814,-0.017788
187.500000,-8.340354,-8.354446,-0.014092
188.232422,-8.284190,-8.286079,-0.001889
188.964844,-8.236641,-8.248994,-0.012353
189.697266,-8.200084,-8.218045,-0.017961
190.429688,-8.174093,-8.187096,-0.013004
191.162109,-8.153914,-8.156148,-0.002234
191.894531,-8.135005,-8.133962,0.001043
192.626953,-8.116297,-8.114635,0.001662
193.359375,-8.097459,-8.095308,0.002151
194.091797,-8.077435,-8.075981,0.001455
194.824219,-8.054348,-8.047922,0.006426
195.556641,-8.027058,-8.015604,0.011455
196.289062,-7.994447,-7.983285,0.011163
197.021484,-7.955898,-7.950966,0.004932
197.753906,-7.911178,-7.901609,0.009569
198.486328,-7.860027,-7.840417,0.019610
199.218750,-7.799927,-7.779225,0.020702
199.951172,-7.728040,-7.718033,0.010008
200.683594,-7.644932,-7.639850,0.005082
201.416016,-7.554336,-7.545221,0.009115
202.148438,-7.458610,-7.450592,0.008019
202.880859,-7.359707,-7.355962,0.003745
203.613281,-7.259136,-7.259337,-0.000201
204.345703,-7.158094,-7.160025,-0.001932
205.078125,-7.057953,-7.060714,-0.002760
205.810547,-6.959546,-6.961402,-0.001855
206.542969,-6.864556,-6.868550,-0.003995
207.275391,-6.775714,-6.788009,-0.012295
208.007812,-6.694465,-6.707468,-0.013002
208.740234,-6.619990,-6.626926,-0.006936
209.472656,-6.549734,-6.551330,-0.001597
210.205078,-6.481692,-6.489650,-0.007958
210.937500,-6.416686,-6.427969,-0.011284
211.669922,-6.357020,-6.366289,-0.009269
212.402344,-6.308218,-6.311684,-0.003467
213.134766,-6.271552,-6.289260,-0.017708
213.867188,-6.246800,-6.266836,-0.020035
214.599609,-6.231429,-6.244411,-0.012982
215.332031,-6.224097,-6.224828,-0.000731
216.064453,-6.224441,-6.231311,-0.006870
216.796875,-6.230425,-6.237794,-0.007369
217.529297,-6.239775,-6.244277,-0.004502
218.261719,-6.251237,-6.250830,0.000407
218.994141,-6.264129,-6.261621,0.002507
219.726562,-6.277591,-6.272413,0.005178
220.458984,-6.288862,-6.283205,0.005658
221.191406,-6.294931,-6.293996,0.000935
221.923828,-6.294593,-6.285751,0.008842
222.656250,-6.288382,-6.276169,0.012213
223.388672,-6.276568,-6.266586,0.009982
224.121094,-6.258976,-6.257004,0.001973
224.853516,-6.236172,-6.228738,0.007434
225.585938,-6.208780,-6.197237,0.011543
226.318359,-6.176045,-6.165737,0.010308
227.050781,-6.136867,-6.134236,0.002631
227.783203,-6.092887,-6.087694,0.005194
228.515625,-6.044809,-6.036669,0.008140
229.248047,-5.992583,-5.985644,0.006939
229.980469,-5.936833,-5.934619,0.002214
230.712891,-5.878644,-5.876644,0.002001
231.445312,-5.818624,-5.815523,0.003101
232.177734,-5.756907,-5.754402,0.002505
232.910156,-5.694363,-5.693281,0.001082
233.642578,-5.631041,-5.628229,0.002812
234.375000,-5.566317,-5.560626,0.005691
235.107422,-5.499063,-5.493023,0.006040
235.839844,-5.428440,-5.425420,0.003020
236.572266,-5.354748,-5.355770,-0.001022
237.304688,-5.280425,-5.284263,-0.003838
238.037109,-5.208195,-5.212757,-0.004562
238.769531,-5.138840,-5.141251,-0.002410
239.501953,-5.073220,-5.078720,-0.005500
240.234375,-5.012981,-5.027496,-0.014514
240.966797,-4.960401,-4.976272,-0.015870
241.699219,-4.916374,-4.925048,-0.008673
242.431641,-4.880444,-4.883690,-0.003246
243.164062,-4.851013,-4.859828,-0.008815
243.896484,-4.826448,-4.835966,-0.009517
244.628906,-4.806286,-4.812104,-0.005818
245.361328,-4.791648,-4.794536,-0.002889
246.093750,-4.783317,-4.793266,-0.009949
246.826172,-4.781395,-4.791997,-0.010602
247.558594,-4.784738,-4.790727,-0.005989
248.291016,-4.791398,-4.791828,-0.000430
249.023438,-4.800184,-4.802617,-0.002432
249.755859,-4.810030,-4.813405,-0.003375
250.488281,-4.821821,-4.824194,-0.002373
251.220703,-4.835846,-4.835493,0.000354
251.953125,-4.851508,-4.850733,0.000775
252.685547,-4.868650,-4.865973,0.002677
253.417969,-4.884236,-4.881214,0.003022
254.150391,-4.896471,-4.896002,0.000469
254.882812,-4.904653,-4.897416,0.007237
255.615234,-4.908280,-4.898830,0.009450
256.347656,-4.907746,-4.900244,0.007502
257.080078,-4.902338,-4.901658,0.000680
257.812500,-4.891341,-4.880254,0.011087
258.544922,-4.874071,-4.857668,0.016403
259.277344,-4.848386,-4.835081,0.013304
260.009766,-4.814709,-4.812495,0.002213
260.742188,-4.772904,-4.762538,0.010366
261.474609,-4.723481,-4.708446,0.015035
262.207031,-4.665992,-4.654354,0.011638
262.939453,-4.602941,-4.600262,0.002679
263.671875,-4.535852,-4.532158,0.003693
264.404297,-4.466262,-4.460257,0.006005
265.136719,-4.393698,-4.388357,0.005342
265.869141,-4.318390,-4.316456,0.001935
266.601562,-4.239215,-4.234228,0.004988
267.333984,-4.155173,-4.147675,0.007498
268.066406,-4.067198,-4.061122,0.006076
268.798828,-3.976637,-3.974570,0.002067
269.531250,-3.885498,-3.888474,-0.002976
270.263672,-3.796809,-3.802656,-0.005847
270.996094,-3.711024,-3.716837,-0.005813
271.728516,-3.628563,-3.631019,-0.002456
272.460938,-3.549271,-3.551534,-0.002263
273.193359,-3.472513,-3.477425,-0.004912
273.925781,-3.398204,-3.403317,-0.005113
274.658203,-3.326713,-3.329208,-0.002495
275.390625,-3.258463,-3.263006,-0.004542
276.123047,-3.194434,-3.206126,-0.011691
276.855469,-3.136294,-3.149246,-0.012951
277.587891,-3.084985,-3.092365,-0.007380
278.320312,-3.041638,-3.045558,-0.003919
279.052734,-3.005268,-3.015397,-0.010129
279.785156,-2.974661,-2.985237,-0.010576
280.517578,-2.948805,-2.955077,-0.006271
281.250000,-2.928649,-2.930809,-0.002160
281.982422,-2.913324,-2.920627,-0.007303
282.714844,-2.902287,-2.910444,-0.008157
283.447266,-2.895689,-2.900262,-0.004572
284.179688,-2.892082,-2.892865,-0.000783
284.912109,-2.891536,-2.895762,-0.004226
285.644531,-2.894706,-2.898659,-0.003953
286.376953,-2.899258,-2.901555,-0.002298
287.109375,-2.905017,-2.905160,-0.000143
287.841797,-2.912366,-2.913459,-0.001094
288.574219,-2.921254,-2.921759,-0.000505
289.306641,-2.930501,-2.930058,0.000443
290.039062,-2.938645,-2.937719,0.000926
290.771484,-2.942197,-2.933015,0.009183
291.503906,-2.940788,-2.928310,0.012478
292.236328,-2.933705,-2.923606,0.010099
292.968750,-2.919343,-2.918901,0.000442
293.701172,-2.898662,-2.891704,0.006959
294.433594,-2.871895,-2.863741,0.008154
295.166016,-2.840373,-2.835778,0.004595
295.898438,-2.808451,-2.807815,0.000636
296.630859,-2.777871,-2.776929,0.000942
297.363281,-2.748877,-2.745664,0.003213
298.095703,-2.718508,-2.714398,0.004110
298.828125,-2.684878,-2.683133,0.001745
299.560547,-2.644664,-2.639088,0.005575
300.292969,-2.600017,-2.591912,0.008105
301.025391,-2.551478,-2.544736,0.006742
301.757812,-2.499439,-2.497559,0.001880
302.490234,-2.445374,-2.443711,0.001663
303.222656,-2.389827,-2.387284,0.002543
303.955078,-2.333119,-2.330857,0.002263
304.687500,-2.275414,-2.274430,0.000984
305.419922,-2.216601,-2.215876,0.000726
306.152344,-2.157384,-2.156121,0.001263
306.884766,-2.097757,-2.096366,0.001391
307.617188,-2.037390,-2.036611,0.000779
308.349609,-1.975979,-1.973538,0.002441
309.082031,-1.913323,-1.907829,0.005494
309.814453,-1.848098,-1.842120,0.005979
310.546875,-1.779507,-1.776410,0.003097
311.279297,-1.707685,-1.709082,-0.001397
312.011719,-1.636915,-1.639968,-0.003052
312.744141,-1.567417,-1.570853,-0.003436
313.476562,-1.499714,-1.501738,-0.002024
314.208984,-1.434504,-1.436592,-0.002088
314.941406,-1.371724,-1.377566,-0.005842
315.673828,-1.312553,-1.318540,-0.005987
316.406250,-1.256185,-1.259515,-0.003330
317.138672,-1.202378,-1.203809,-0.001432
317.871094,-1.150765,-1.155447,-0.004682
318.603516,-1.101393,-1.107085,-0.005692
319.335938,-1.055088,-1.058723,-0.003635
320.068359,-1.011985,-1.013109,-0.001124
320.800781,-0.971480,-0.976730,-0.005249
321.533203,-0.934244,-0.940350,-0.006107
322.265625,-0.899757,-0.903971,-0.004213
322.998047,-0.868565,-0.869998,-0.001433
323.730469,-0.842437,-0.849944,-0.007507
324.462891,-0.820536,-0.829891,-0.009355
325.195312,-0.804496,-0.809837,-0.005342
325.927734,-0.790209,-0.790226,-0.000017
326.660156,-0.776882,-0.776927,-0.000046
327.392578,-0.763329,-0.763629,-0.000299
328.125000,-0.749921,-0.750330,-0.000409
328.857422,-0.737081,-0.737032,0.000049
329.589844,-0.724800,-0.727339,-0.002539
330.322266,-0.713272,-0.717708,-0.004435
331.054688,-0.703953,-0.708076,-0.004122
331.787109,-0.697611,-0.698444,-0.000833
332.519531,-0.697079,-0.701989,-0.004910
333.251953,-0.700697,-0.706975,-0.006277
333.984375,-0.707994,-0.711960,-0.003966
334.716797,-0.716231,-0.716945,-0.000714
335.449219,-0.724585,-0.722875,0.001710
336.181641,-0.731940,-0.729013,0.002927
336.914062,-0.737844,-0.735151,0.002693
337.646484,-0.741905,-0.741289,0.000617
338.378906,-0.744479,-0.742363,0.002116
339.111328,-0.745698,-0.741637,0.004061
339.843750,-0.743825,-0.740910,0.002915
340.576172,-0.740933,-0.740184,0.000749
341.308594,-0.737243,-0.734507,0.002736
342.041016,-0.730846,-0.726230,0.004617
342.773438,-0.721745,-0.717952,0.003792
343.505859,-0.711095,-0.709675,0.001419
344.238281,-0.699270,-0.696449,0.002821
344.970703,-0.685194,-0.679543,0.005651
345.703125,-0.668670,-0.662638,0.006032
346.435547,-0.648396,-0.645732,0.002663
347.167969,-0.625455,-0.622354,0.003101
347.900391,-0.599898,-0.592283,0.007615
348.632812,-0.570007,-0.562212,0.007795
349.365234,-0.536992,-0.532141,0.004851
350.097656,-0.497505,-0.495814,0.001691
350.830078,-0.454719,-0.450474,0.004244
351.562500,-0.407176,-0.405134,0.002041
352.294922,-0.360266,-0.359795,0.000472
353.027344,-0.314706,-0.314757,-0.000051
353.759766,-0.269978,-0.270339,-0.000361
354.492188,-0.225768,-0.225921,-0.000153
355.224609,-0.181518,-0.181503,0.000015
355.957031,-0.137179,-0.136935,0.000244
356.689453,-0.092532,-0.091905,0.000627
357.421875,-0.047600,-0.046876,0.000725
358.154297,-0.002204,-0.001846,0.000358
358.886719,0.043244,0.043117,-0.000126
359.619141,0.088684,0.087740,-0.000944
360.351562,0.133898,0.132363,-0.001534
361.083984,0.178696,0.176986,-0.001709
361.816406,0.221305,0.221109,-0.000196
362.548828,0.262775,0.259609,-0.003165
363.281250,0.303016,0.298110,-0.004906
364.013672,0.341393,0.336611,-0.004782
364.746094,0.374597,0.375112,0.000515
365.478516,0.405707,0.403196,-0.002511
366.210938,0.434230,0.431278,-0.002952
366.943359,0.461698,0.459360,-0.002338
367.675781,0.488018,0.487441,-0.000577
368.408203,0.508824,0.501054,-0.007770
369.140625,0.524386,0.513371,-0.011015
369.873047,0.534178,0.525689,-0.008489
370.605469,0.539787,0.538007,-0.001780
371.337891,0.539951,0.534238,-0.005713
372.070312,0.536902,0.527312,-0.009590
372.802734,0.527422,0.520386,-0.007036
373.535156,0.515512,0.513460,-0.002052
374.267578,0.499807,0.497264,-0.002543
375.000000,0.482534,0.478043,-0.004491
375.732422,0.462380,0.458822,-0.003558
376.464844,0.440984,0.439600,-0.001384
377.197266,0.417775,0.418728,0.000953
377.929688,0.395152,0.397050,0.001897
378.662109,0.373783,0.375371,0.001588
379.394531,0.353113,0.353693,0.000580
380.126953,0.333217,0.333969,0.000752
380.859375,0.314603,0.315602,0.001000
381.591797,0.297291,0.297236,-0.000055
382.324219,0.279036,0.278870,-0.000166
383.056641,0.260019,0.262125,0.002105
383.789062,0.243035,0.246949,0.003913
384.521484,0.227749,0.231773,0.004024
385.253906,0.214574,0.216597,0.002023
385.986328,0.202885,0.203792,0.000907
386.718750,0.192280,0.194182,0.001902
387.451172,0.182421,0.184571,0.002151
388.183594,0.173794,0.174961,0.001166
388.916016,0.165953,0.166948,0.000996
389.648438,0.159538,0.161982,0.002444
390.380859,0.153970,0.157015,0.003045
391.113281,0.150008,0.152049,0.002041
391.845703,0.147631,0.150644,0.003013
392.578125,0.152818,0.159263,0.006445
393.310547,0.161414,0.167882,0.006468
394.042969,0.172898,0.176501,0.003603
394.775391,0.185635,0.186241,0.000607
395.507812,0.199376,0.201085,0.001708
396.240234,0.213657,0.215928,0.002271
396.972656,0.229170,0.230772,0.001602
397.705078,0.245456,0.246219,0.000764
398.437500,0.264182,0.267216,0.003034
399.169922,0.284178,0.288212,0.004034
399.902344,0.306498,0.309208,0.002710
400.634766,0.329997,0.330263,0.000266
401.367188,0.354883,0.354836,-0.000047
402.099609,0.380361,0.379409,-0.000952
402.832031,0.404855,0.403982,-0.000873
403.564453,0.428648,0.428555,-0.000093
404.296875,0.450310,0.450318,0.000008
405.029297,0.470705,0.471884,0.001178
405.761719,0.492273,0.493449,0.001176
406.494141,0.514712,0.515014,0.000302
407.226562,0.537997,0.539055,0.001058
407.958984,0.561993,0.563524,0.001531
408.691406,0.586767,0.587993,0.001227
409.423828,0.612315,0.612462,0.000148
410.156250,0.636976,0.635164,-0.001812
410.888672,0.660569,0.657338,-0.003231
411.621094,0.682671,0.679513,-0.003159
412.353516,0.702587,0.701687,-0.000899
413.085938,0.720572,0.717476,-0.003096
413.818359,0.735055,0.730374,-0.004681
414.550781,0.747950,0.743272,-0.004678
415.283203,0.757423,0.756169,-0.001254
416.015625,0.766181,0.765465,-0.000716
416.748047,0.773710,0.772422,-0.001288
417.480469,0.780845,0.779379,-0.001466
418.212891,0.786644,0.786336,-0.000308
418.945312,0.792353,0.793819,0.001466
419.677734,0.799912,0.801780,0.001867
420.410156,0.808219,0.809740,0.001521
421.142578,0.816756,0.817701,0.000945
421.875000,0.825397,0.825749,0.000352
422.607422,0.832833,0.833906,0.001073
423.339844,0.839222,0.842063,0.002841
424.072266,0.847926,0.850221,0.002295
424.804688,0.859540,0.858221,-0.001319
425.537109,0.869499,0.865943,-0.003556
426.269531,0.875996,0.873664,-0.002332
427.001953,0.882231,0.881386,-0.000845
427.734375,0.888727,0.887591,-0.001136
428.466797,0.894582,0.889867,-0.004715
429.199219,0.895931,0.892143,-0.003788
429.931641,0.896214,0.894419,-0.001794
430.664062,0.897087,0.897077,-0.000011
431.396484,0.898352,0.901293,0.002941
432.128906,0.902696,0.905510,0.002813
432.861328,0.909627,0.909726,0.000099
433.593750,0.914302,0.913775,-0.000527
434.326172,0.915854,0.916528,0.000673
435.058594,0.917802,0.919281,0.001478
435.791016,0.921227,0.922034,0.000806
436.523438,0.924867,0.924830,-0.000038
437.255859,0.928720,0.928907,0.000187
437.988281,0.932642,0.932984,0.000343
438.720703,0.936811,0.937061,0.000250
439.453125,0.941111,0.941138,0.000028
440.185547,0.945856,0.947196,0.001339
440.917969,0.951022,0.953355,0.002334
441.650391,0.957316,0.959515,0.002200
