Frequency_Hz,Original_dB,Truncated_dB,Difference_dB
105.468750,3.510275,3.490287,-0.019988
106.201172,3.479284,3.460210,-0.019075
106.933594,3.429338,3.382255,-0.047083
107.666016,3.355909,3.304300,-0.051609
108.398438,3.253625,3.226344,-0.027281
109.130859,3.124018,3.119783,-0.004235
109.863281,2.979085,2.975101,-0.003984
110.595703,2.833052,2.830419,-0.002633
111.328125,2.687081,2.685738,-0.001344
112.060547,2.539341,2.532639,-0.006702
112.792969,2.385179,2.367590,-0.017589
113.525391,2.221520,2.202541,-0.018979
114.257812,2.047401,2.037492,-0.009909
114.990234,1.864391,1.857759,-0.006632
115.722656,1.672456,1.655799,-0.016657
116.455078,1.470767,1.453839,-0.016928
117.187500,1.260437,1.251879,-0.008559
117.919922,1.044319,1.042058,-0.002261
118.652344,0.826013,0.819543,-0.006470
119.384766,0.605290,0.597028,-0.008262
120.117188,0.380026,0.374513,-0.005514
120.849609,0.147856,0.146892,-0.000964
121.582031,-0.089974,-0.089537,0.000437
122.314453,-0.330812,-0.325966,0.004846
123.046875,-0.568980,-0.562394,0.006586
123.779297,-0.791484,-0.782106,0.009378
124.511719,-0.996072,-0.970978,0.025093
125.244141,-1.183140,-1.159850,0.023290
125.976562,-1.359492,-1.348722,0.010770
126.708984,-1.530885,-1.530686,0.000199
127.441406,-1.698196,-1.699003,-0.000807
128.173828,-1.863653,-1.867321,-0.003668
128.906250,-2.032245,-2.035638,-0.003393
129.638672,-2.205850,-2.205861,-0.000011
130.371094,-2.384297,-2.380120,0.004177
131.103516,-2.561712,-2.554380,0.007333
131.835938,-2.733744,-2.728639,0.005105
132.568359,-2.899102,-2.895823,0.003279
133.300781,-3.056967,-3.046900,0.010068
134.033203,-3.209520,-3.197976,0.011544
134.765625,-3.356366,-3.349052,0.007314
135.498047,-3.495181,-3.487972,0.007209
136.230469,-3.620995,-3.597093,0.023903
136.962891,-3.732264,-3.706213,0.026051
137.695312,-3.830079,-3.815334,0.014745
138.427734,-3.917023,-3.911724,0.005299
139.160156,-3.993466,-3.974434,0.019032
139.892578,-4.057964,-4.037145,0.020819
140.625000,-4.111710,-4.099855,0.011855
141.357422,-4.157238,-4.154816,0.002421
142.089844,-4.196422,-4.187593,0.008829
142.822266,-4.229809,-4.220370,0.009439
143.554688,-4.258291,-4.253147,0.005144
144.287109,-4.283828,-4.281092,0.002736
145.019531,-4.305635,-4.294019,0.011615
145.751953,-4.322068,-4.306947,0.015121
146.484375,-4.331032,-4.319874,0.011158
147.216797,-4.328027,-4.323390,0.004638
147.949219,-4.312051,-4.295037,0.017015
148.681641,-4.284359,-4.266684,0.017676
149.414062,-4.248327,-4.238331,0.009996
150.146484,-4.206686,-4.202849,0.003837
150.878906,-4.159379,-4.140959,0.018419
151.611328,-4.103005,-4.079069,0.023936
152.343750,-4.033334,-4.017179,0.016155
153.076172,-3.949833,-3.946499,0.003335
153.808594,-3.852133,-3.840011,0.012123
154.541016,-3.742157,-3.733522,0.008635
155.273438,-3.630098,-3.627034,0.003063
156.005859,-3.520849,-3.521956,-0.001106
156.738281,-3.417229,-3.423224,-0.005995
157.470703,-3.319015,-3.324493,-0.005478
158.203125,-3.224305,-3.225762,-0.001457
158.935547,-3.127533,-3.125748,0.001785
159.667969,-3.025330,-3.019300,0.006030
160.400391,-2.918907,-2.912853,0.006054
161.132812,-2.810234,-2.806405,0.003829
161.865234,-2.699601,-2.698272,0.001329
162.597656,-2.585356,-2.580651,0.004705
163.330078,-2.467619,-2.463030,0.004589
164.062500,-2.348190,-2.345409,0.002781
164.794922,-2.227841,-2.228388,-0.000547
165.527344,-2.108387,-2.115203,-0.006816
166.259766,-1.992356,-2.002018,-0.009662
166.992188,-1.882191,-1.888833,-0.006642
167.724609,-1.777444,-1.776632,0.000812
168.457031,-1.674104,-1.671654,0.002450
169.189453,-1.570701,-1.566676,0.004025
169.921875,-1.465743,-1.461698,0.004044
170.654297,-1.356418,-1.355942,0.000475
171.386719,-1.243738,-1.243514,0.000224
172.119141,-1.130040,-1.131085,-0.001044
172.851562,-1.016457,-1.018656,-0.002199
173.583984,-0.906696,-0.908868,-0.002173
174.316406,-0.805817,-0.826102,-0.020284
175.048828,-0.716213,-0.743335,-0.027122
175.781250,-0.640571,-0.660569,-0.019999
176.513672,-0.579875,-0.580594,-0.000719
177.246094,-0.531223,-0.535761,-0.004538
177.978516,-0.487867,-0.490929,-0.003061
178.710938,-0.444213,-0.446096,-0.001883
179.443359,-0.401490,-0.401985,-0.000496
