Frequency_Hz,Original_dB,Truncated_dB,Difference_dB
107.666016,-3.824863,-3.831702,-0.006839
108.398438,-3.675471,-3.679272,-0.003801
109.130859,-3.531653,-3.531429,0.000224
109.863281,-3.390985,-3.389698,0.001286
110.595703,-3.249509,-3.247968,0.001541
111.328125,-3.107000,-3.106237,0.000763
112.060547,-2.965210,-2.971750,-0.006539
112.792969,-2.829380,-2.847545,-0.018165
113.525391,-2.702475,-2.723341,-0.020866
114.257812,-2.587022,-2.599136,-0.012114
114.990234,-2.485980,-2.494251,-0.008271
115.722656,-2.397630,-2.418607,-0.020977
116.455078,-2.321515,-2.342964,-0.021449
117.187500,-2.257074,-2.267320,-0.010247
117.919922,-2.199047,-2.195822,0.003225
118.652344,-2.139188,-2.131020,0.008169
119.384766,-2.074408,-2.066217,0.008192
120.117188,-2.005621,-2.001414,0.004208
120.849609,-1.934619,-1.935720,-0.001101
121.582031,-1.863650,-1.868491,-0.004840
122.314453,-1.795908,-1.801261,-0.005352
123.046875,-1.731832,-1.734031,-0.002198
123.779297,-1.667910,-1.667196,0.000714
124.511719,-1.601056,-1.601090,-0.000035
125.244141,-1.531641,-1.534985,-0.003344
125.976562,-1.464908,-1.468879,-0.003971
126.708984,-1.406489,-1.414706,-0.008217
127.441406,-1.357623,-1.384107,-0.026484
128.173828,-1.320391,-1.353508,-0.033117
128.906250,-1.302709,-1.322909,-0.020200
129.638672,-1.305119,-1.311397,-0.006278
130.371094,-1.327529,-1.340327,-0.012798
131.103516,-1.358743,-1.369257,-0.010514
131.835938,-1.393516,-1.398186,-0.004671
132.568359,-1.429405,-1.428949,0.000455
133.300781,-1.465382,-1.463885,0.001497
134.033203,-1.501610,-1.498821,0.002789
134.765625,-1.537486,-1.533757,0.003730
135.498047,-1.566176,-1.560779,0.005396
136.230469,-1.582161,-1.568405,0.013756
136.962891,-1.588720,-1.576030,0.012690
137.695312,-1.589762,-1.583655,0.006107
138.427734,-1.588985,-1.588075,0.000910
139.160156,-1.585997,-1.584014,0.001983
