Frequency_Hz,Original_dB,Truncated_dB,Difference_dB
104.736328,-4.466177,-4.476566,-0.010389
105.468750,-4.344080,-4.346862,-0.002782
106.201172,-4.221157,-4.225812,-0.004655
106.933594,-4.097586,-4.115592,-0.018005
107.666016,-3.982113,-4.005371,-0.023258
108.398438,-3.882719,-3.895151,-0.012432
109.130859,-3.798457,-3.795643,0.002814
109.863281,-3.721109,-3.710410,0.010699
110.595703,-3.638021,-3.625176,0.012845
111.328125,-3.547294,-3.539943,0.007351
112.060547,-3.450369,-3.451189,-0.000821
112.792969,-3.352346,-3.357439,-0.005093
113.525391,-3.256152,-3.263688,-0.007536
114.257812,-3.164539,-3.169937,-0.005398
114.990234,-3.083030,-3.091686,-0.008655
115.722656,-3.013421,-3.036895,-0.023474
116.455078,-2.956398,-2.982104,-0.025706
117.187500,-2.914181,-2.927313,-0.013133
117.919922,-2.883672,-2.884630,-0.000958
118.652344,-2.857533,-2.861503,-0.003970
119.384766,-2.833311,-2.838376,-0.005065
120.117188,-2.812167,-2.815248,-0.003082
120.849609,-2.796150,-2.793834,0.002315
121.582031,-2.782151,-2.775377,0.006775
122.314453,-2.766405,-2.756919,0.009486
123.046875,-2.746150,-2.738461,0.007690
123.779297,-2.714947,-2.709135,0.005812
124.511719,-2.672517,-2.659757,0.012760
125.244141,-2.619589,-2.610380,0.009209
125.976562,-2.563603,-2.561003,0.002599
126.708984,-2.512513,-2.518887,-0.006375
127.441406,-2.467962,-2.491117,-0.023155
128.173828,-2.432859,-2.463346,-0.030487
128.906250,-2.417024,-2.435576,-0.018552
129.638672,-2.421172,-2.427421,-0.006249
130.371094,-2.444895,-2.460827,-0.015931
131.103516,-2.478942,-2.494233,-0.015291
131.835938,-2.520207,-2.527639,-0.007431
132.568359,-2.566565,-2.568450,-0.001884
133.300781,-2.618555,-2.626119,-0.007564
134.033203,-2.676384,-2.683788,-0.007403
134.765625,-2.739745,-2.741457,-0.001711
135.498047,-2.800427,-2.791212,0.009215
136.230469,-2.848517,-2.821570,0.026947
136.962891,-2.881243,-2.851928,0.029314
137.695312,-2.899203,-2.882286,0.016916
138.427734,-2.906380,-2.903787,0.002593
139.160156,-2.906900,-2.901854,0.005047
139.892578,-2.902540,-2.899920,0.002620
140.625000,-2.898030,-2.897987,0.000043
141.357422,-2.898058,-2.899822,-0.001764
142.089844,-2.904719,-2.912442,-0.007723
142.822266,-2.915959,-2.925062,-0.009103
143.554688,-2.931679,-2.937682,-0.006003
144.287109,-2.954641,-2.957960,-0.003319
145.019531,-2.988455,-3.002036,-0.013581
145.751953,-3.033032,-3.046112,-0.013079
146.484375,-3.084329,-3.090187,-0.005859
147.216797,-3.137182,-3.137727,-0.000545
147.949219,-3.191055,-3.196993,-0.005938
148.681641,-3.247814,-3.256260,-0.008447
149.414062,-3.309890,-3.315527,-0.005637
150.146484,-3.377830,-3.376023,0.001807
150.878906,-3.451062,-3.441075,0.009986
151.611328,-3.523510,-3.506128,0.017383
152.343750,-3.584432,-3.571180,0.013252
153.076172,-3.632009,-3.627381,0.004627
153.808594,-3.665598,-3.647531,0.018067
154.541016,-3.684792,-3.667681,0.017111
155.273438,-3.696742,-3.687831,0.008911
156.005859,-3.707385,-3.709109,-0.001725
156.738281,-3.722755,-3.735473,-0.012718
157.470703,-3.747557,-3.761837,-0.014280
158.203125,-3.781031,-3.788200,-0.007169
158.935547,-3.817073,-3.814616,0.002456
159.667969,-3.850000,-3.841297,0.008703
160.400391,-3.878452,-3.867977,0.010475
161.132812,-3.902467,-3.894657,0.007810
161.865234,-3.920484,-3.918263,0.002221
162.597656,-3.932936,-3.924550,0.008386
163.330078,-3.940404,-3.930836,0.009567
164.062500,-3.943639,-3.937123,0.006515
164.794922,-3.943112,-3.942573,0.000539
165.527344,-3.940657,-3.942677,-0.002020
166.259766,-3.939000,-3.942780,-0.003780
166.992188,-3.940500,-3.942884,-0.002384
167.724609,-3.944436,-3.943170,0.001266
168.457031,-3.948486,-3.944793,0.003692
169.189453,-3.951828,-3.946417,0.005411
169.921875,-3.952883,-3.948041,0.004842
170.654297,-3.949689,-3.948811,0.000878
171.386719,-3.944436,-3.942263,0.002174
172.119141,-3.939245,-3.935714,0.003531
172.851562,-3.932063,-3.929166,0.002898
173.583984,-3.922724,-3.923709,-0.000985
174.316406,-3.914073,-3.929431,-0.015358
175.048828,-3.911753,-3.935152,-0.023399
175.781250,-3.922811,-3.940873,-0.018062
176.513672,-3.948863,-3.948365,0.000499
177.246094,-3.984777,-3.978143,0.006634
177.978516,-4.019967,-4.007922,0.012046
178.710938,-4.046952,-4.037700,0.009252
179.443359,-4.067087,-4.066408,0.000679
180.175781,-4.083830,-4.077768,0.006062
180.908203,-4.097515,-4.089128,0.008387
181.640625,-4.106365,-4.100488,0.005876
182.373047,-4.111893,-4.111489,0.000404
183.105469,-4.115429,-4.114420,0.001008
183.837891,-4.117617,-4.117352,0.000266
184.570312,-4.119632,-4.120283,-0.000652
185.302734,-4.123678,-4.123144,0.000534
186.035156,-4.129814,-4.123467,0.006347
186.767578,-4.134075,-4.123789,0.010286
187.500000,-4.132929,-4.124112,0.008818
188.232422,-4.124841,-4.124256,0.000585
188.964844,-4.111649,-4.109468,0.002181
